City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Hobyo,SO,77.0,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
2,Tual,ID,83.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
12,Rikitea,PF,76.28,broken clouds,-23.1203,-134.9692,People ThankYou
13,Ballina,AU,77.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
18,Kapaa,US,76.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Curuca,BR,75.54,scattered clouds,-0.7289,-47.8481,Hotel Curuça
28,Isangel,VU,85.03,overcast clouds,-19.55,169.2667,Tanna Lodge
31,Oranjestad,AW,79.92,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
35,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
36,Hambantota,LK,76.24,scattered clouds,6.1241,81.1185,Bungalow 63
37,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Butaritari,KI,82.65,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
45,Soe,ID,79.03,broken clouds,-9.8607,124.284,Dena Hotel
46,Vao,NC,78.82,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
50,Carutapera,BR,77.68,few clouds,-1.195,-46.02,Lidera
52,Bengkulu,ID,77.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
53,Atuona,PF,78.8,overcast clouds,-9.8,-139.0333,Villa Enata
55,Urucara,BR,76.19,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
58,Chapada Dos Guimaraes,BR,76.66,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
66,Auki,SB,83.52,light rain,-8.7676,160.7034,Auki Motel
68,Maputo,MZ,77.23,scattered clouds,-25.9653,32.5892,Pestana Rovuma
82,Dingle,PH,81.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
90,Zachary,US,76.68,broken clouds,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
95,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
98,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
104,Estelle,US,77.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
108,Baillif,GP,78.64,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
112,Bubaque,GW,81.7,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
113,Kavaratti,IN,81.82,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
119,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
129,Hithadhoo,MV,81.01,overcast clouds,-0.6,73.0833,Scoop Guest House
132,Lodwar,KE,80.38,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
135,Touho,NC,82.42,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
144,Quelimane,MZ,76.89,clear sky,-17.8786,36.8883,Hotel Flamingo
