City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Hobyo,SO,5.3505,48.5268,77.0,75,11,16.33,few clouds
1,Bredasdorp,ZA,-34.5322,20.0403,62.28,89,0,7.61,clear sky
2,Tual,ID,-5.6667,132.75,83.43,78,100,16.96,overcast clouds
3,Norman Wells,CA,65.282,-126.8329,-2.36,96,100,0.98,overcast clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,-7.24,97,100,6.29,overcast clouds
5,Dikson,RU,73.5069,80.5464,-14.21,80,100,2.59,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.02,90,100,3.56,overcast clouds
7,Albany,US,42.6001,-73.9662,36.81,78,92,2.82,overcast clouds
8,Henties Bay,NA,-22.116,14.2845,57.85,89,58,4.79,broken clouds
9,Port Elizabeth,ZA,-33.918,25.5701,69.1,100,90,10.36,overcast clouds
10,Talnakh,RU,69.4865,88.3972,-14.8,96,100,7.07,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,71.71,80,0,11.95,clear sky
12,Rikitea,PF,-23.1203,-134.9692,76.28,69,52,18.25,broken clouds
13,Ballina,AU,-28.8667,153.5667,77.18,70,94,11.12,overcast clouds
14,Kindu,CD,-2.95,25.95,69.58,99,29,0.76,moderate rain
15,Hermanus,ZA,-34.4187,19.2345,62.91,84,82,10.87,broken clouds
16,Flin Flon,CA,54.7682,-101.865,6.01,97,83,4.47,broken clouds
17,Bilibino,RU,68.0546,166.4372,-32.1,99,97,0.87,overcast clouds
18,Kapaa,US,22.0752,-159.319,76.98,84,90,8.05,moderate rain
19,Curuca,BR,-0.7289,-47.8481,75.54,95,33,4.34,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,58.48,82,97,6.44,overcast clouds
21,Torbay,CA,47.6666,-52.7314,23.68,77,62,1.99,broken clouds
22,Shanghai,CN,31.2222,121.4581,55.27,72,2,1.01,mist
23,Lafiagi,NG,8.8667,5.4167,73.81,31,39,2.42,scattered clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,79,93,5.82,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,51.91,71,75,13.8,broken clouds
26,Qaanaaq,GL,77.484,-69.3632,-3.32,74,59,6.58,broken clouds
27,Hvolsvollur,IS,63.7533,-20.2243,35.82,83,100,13.49,light rain
28,Isangel,VU,-19.55,169.2667,85.03,71,100,10.54,overcast clouds
29,Forestville,US,38.8451,-76.875,50.5,82,90,0.0,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,63.12,84,29,1.99,scattered clouds
31,Oranjestad,AW,12.524,-70.027,79.92,84,10,1.99,clear sky
32,Mount Gambier,AU,-37.8333,140.7667,68.13,41,0,8.01,clear sky
33,Chifeng,CN,42.2683,118.9636,31.33,50,99,5.53,overcast clouds
34,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,88,20,11.5,few clouds
35,Hilo,US,19.7297,-155.09,80.33,45,40,10.36,scattered clouds
36,Hambantota,LK,6.1241,81.1185,76.24,86,48,13.15,scattered clouds
37,Vaini,TO,-21.2,-175.2,86.16,79,20,10.36,few clouds
38,Severo-Yeniseyskiy,RU,60.3725,93.0408,1.33,96,100,6.04,light snow
39,Mareeba,AU,-17.0,145.4333,93.33,57,100,3.02,overcast clouds
40,Nelson Bay,AU,-32.7167,152.15,70.29,69,100,4.0,overcast clouds
41,Yellowknife,CA,62.456,-114.3525,-10.59,96,71,9.15,broken clouds
42,Abu Dhabi,AE,24.4667,54.3667,70.97,75,40,1.99,scattered clouds
43,Rumonge,BI,-3.9736,29.4386,72.3,78,78,4.61,broken clouds
44,Butaritari,KI,3.0707,172.7902,82.65,77,27,12.39,scattered clouds
45,Soe,ID,-9.8607,124.284,79.03,61,72,2.86,broken clouds
46,Vao,NC,-22.6667,167.4833,78.82,85,100,15.19,overcast clouds
47,Jacksonville,US,30.3322,-81.6556,70.45,87,1,1.99,clear sky
48,Guarapari,BR,-20.6667,-40.4975,73.89,90,1,7.05,clear sky
49,Burnie,AU,-41.0667,145.9167,66.92,52,50,9.42,scattered clouds
50,Carutapera,BR,-1.195,-46.02,77.68,89,22,6.53,few clouds
51,Statesboro,US,32.4488,-81.7832,65.73,94,75,3.44,broken clouds
